-,-,-
-874, -284, -90
-922, -263, -104
-958, -281, -42
-1006, -255, -186
-948, -319, -49
-902, -363, 83
-868, -376, 65
-798, -418, 61
-827, -386, 155
-819, -347, 127
-799, -314, 91
-800, -280, 87
-780, -311, -2
-817, -246, -68
-879, -191, 50
-909, -131, 67
-909, -131, 67
-909, -105, 70
-899, -108, 98
-912, -102, 68
-977, -45, 120
-1001, -59, 239
-986, -104, 257
-950, -137, 137
-1009, -71, 142
-1071, -28, 330
-1057, -39, 290
-999, -83, 205
-999, -68, 246
-999, -68, 246
-1014, -71, 354
-1041, -50, 347
-1018, -47, 346
-934, -80, 228
-947, -35, 264
-1046, 66, 404
-1038, 59, 377
-983, 21, 247
-973, 26, 317
-973, 26, 317
-930, -17, 426
-981, 57, 489
-975, 79, 457
-953, 119, 327
-978, 175, 369
-1049, 286, 473
-1096, 400, 442
-1154, 525, 374
-1179, 567, 295
-1181, 579, 283
-1181, 579, 283
-1140, 555, 337
-1092, 540, 337
-1002, 493, 326
-888, 412, 270
-858, 393, 339
-812, 347, 359
-808, 343, 299
-808, 265, 270
-838, 223, 275
-888, 229, 434
-860, 170, 529
-860, 170, 529
-856, 130, 587
-881, 77, 548
-935, 77, 503
-940, 49, 567
-940, 46, 637
-913, -2, 622
-913, -2, 537
-926, -55, 537
-921, -97, 514
-888, -117, 551
-897, -102, 696
-889, -161, 729
-853, -216, 569
-867, -217, 537
-896, -194, 588
-905, -177, 616
-914, -194, 595
-895, -288, 562
-915, -279, 578
-916, -263, 616
-919, -281, 693
-,-,-
-1014, -107, 238
-977, -391, 391
-763, -424, -83
-781, -434, -281
-705, -542, -177
-615, -576, -45
-470, -720, 173
-454, -698, 163
-454, -698, 163
-481, -611, 42
-517, -526, 155
-500, -577, 258
-633, -365, 193
-738, -206, 159
-844, -150, 210
-1004, -82, 268
-1048, -54, 183
-1025, -33, 165
-1074, 2, 221
-1255, 163, 291
-1273, 139, 402
-1198, 54, 334
-1113, -66, 241
-1105, -107, 371
-1184, -39, 548
-1210, 2, 540
-1210, 2, 540
-1126, -20, 425
-1073, -65, 374
-1113, -27, 478
-1237, 127, 591
-1202, 127, 513
-1140, 117, 332
-1091, 94, 291
-1120, 131, 463
-1147, 170, 556
-1091, 187, 371
-1062, 200, 262
-1100, 242, 375
-1084, 234, 450
-1004, 182, 383
-951, 148, 268
-951, 148, 268
-980, 172, 287
-960, 140, 381
-921, 86, 428
-875, 26, 429
-881, 1, 361
-947, 42, 384
-947, 42, 384
-941, -7, 517
-911, -25, 499
-913, -51, 508
-918, -80, 443
-924, -94, 439
-936, -88, 514
-932, -123, 548
-943, -148, 508
-925, -175, 449
-925, -175, 449
-906, -188, 468
-925, -150, 514
-927, -188, 501
-914, -235, 450
-940, -213, 465
-968, -160, 573
-946, -213, 604
-906, -265, 461
-903, -249, 399
-924, -209, 440
-868, -256, 406
-817, -298, 278
-835, -291, 272
-890, -242, 296
-895, -251, 356
-881, -275, 360
-893, -274, 338
-919, -251, 321
-924, -250, 318
-927, -254, 344
-943, -258, 394
-943, -258, 394
-926, -313, 410
-928, -315, 428
-930, -299, 414
-947, -327, 557
-,-,-
-758, -296, 37
-664, -371, -63
-664, -371, -63
-735, -375, -98
-858, -302, 36
-841, -294, -13
-813, -323, -39
-822, -321, -29
-860, -288, -13
-871, -312, 16
-882, -298, 38
-882, -316, 53
-941, -262, 28
-955, -260, 68
-892, -304, 6
-892, -304, 6
-839, -321, -59
-862, -305, 17
-925, -224, 109
-917, -205, 84
-916, -200, 66
-970, -176, 103
-1020, -157, 100
-1037, -137, 136
-1078, -95, 178
-1071, -119, 216
-1036, -184, 162
-1051, -167, 144
